n;clé;image_id;seed;statut;raison;prompt
71;s1/entreprises-2;528976ce-b47a-40e1-a12a-a5282ab4ae31;aléatoire;retenue;v1 : cordon de velours, portier, citoyens en colère, toile abandonnée;Risograph print editorial illustration, linocut style: a velvet rope barrier on two brass posts in front of a closed data center door guarded by a doorman in a suit, a crowd of angry citizens behind the rope raising their fists, and in the foreground an abandoned painter's easel with a blank canvas and brushes dropped on the ground. The velvet rope is printed in bright light blue. [style bleu clair, fond papier jusqu’aux bords, no frame]
72;s1/services-publics;7ed57353-4d68-49b1-825d-2f476d9b480c;aléatoire;retenue;v1 : chat sur le portable débranché, câble vers la mairie;Risograph print editorial illustration, linocut style: a grumpy cat sitting on a closed unplugged laptop on the left, while the laptop's long power cable now runs to a small public town hall building with columns on the right, where small citizens line up at the open door. The power cable is printed in bright light blue. [style bleu clair, fond papier jusqu’aux bords, no frame]
73;s1/partenaires-sud;546d6f9f-ac60-446b-bcc0-2cc399e7b4b7;aléatoire;retenue;v2 : podium porté par les mineurs, trophée en spot, plus de chiffre;Risograph print editorial illustration, linocut style: a plain block podium with a big shiny trophy cup on top, the whole podium lifted on the shoulders of a row of tiny exhausted miners with helmets and headlamps, their knees bent under the weight. The trophy cup is printed in bright light blue. [style bleu clair, fond papier jusqu’aux bords, no frame], no numbers
74;s1/partenaires-locaux;dedfc512-ca8b-4ce2-8051-028a8f8a3184;aléatoire;retenue;v2 : « no logos » : pelleteuse nette, villageois qui partent;Risograph print editorial illustration, linocut style: a big plain unmarked mining excavator digging a deep pit right in the middle of a small village square, a few villagers walking away from their houses carrying suitcases, a chair and a lamp, and a tall stack of coins toppling over beside the pit. The excavator is printed in bright light blue. [style bleu clair, fond papier jusqu’aux bords, no frame], no logos
75;s1/import-assemblage;abbe99a4-8530-42c9-9d75-8c5924e79fc8;aléatoire;retenue;v2 : plus de bandes, la vignette reste un rectangle avec la mer en spot;Risograph print editorial illustration, linocut style: (même sujet que v1) [style bleu clair, fond papier jusqu’aux bords, no frame]
76;s1/data-centers-fin;0d81557a-91b5-4bbe-b282-a12fcaeb1b0a;aléatoire;retenue;v2 : traces de pas creusées, arbre abattu, maison;Risograph print editorial illustration, linocut style: a cheerful businessman in a suit taking giant strides across a green landscape with a small server cabinet under his arm, and behind him a trail of huge deep footprint-shaped holes dug into the ground, a fallen tree and a small cracked house along the trail. The footprint holes are printed in bright light blue. [style bleu clair, fond papier jusqu’aux bords, no frame]
77;s1/booster;8f8b5e09-dd7c-4505-9314-efb2fd75deb1;aléatoire;rejetée;v2 : bandes noires (la croix de l'hôpital est bien là);Risograph print editorial illustration, linocut style: a big glass jar full of coins in the center, with two pipes coming out of it that pour streams of coins onto the roofs of a small hospital building with a big plus-shaped cross on its roof and a small school building with a bell tower and children at the door. The coins are printed in bright light blue. [style bleu clair, fond papier jusqu’aux bords, no frame]
78;s1/autre-projet;8ad9632a-93e8-410a-b2c8-f1118ec7de2d;aléatoire;retenue;v2 : serveur au pied de l'arbre, bancs, lecteurs;Risograph print editorial illustration, linocut style: a black server cabinet standing on the grass in a town park, with leafy tree branches growing out of its top like a big tree crown, and small citizens sitting on park benches in its shade, a child reading a book, an old man feeding pigeons. The leaves are printed in bright light blue. [style bleu clair, fond papier jusqu’aux bords, no frame]
79;s1/autre-projet-2;dd2af0bd-40b7-4ecb-99f3-32ea7a84372c;aléatoire;retenue;v2 : pont au-dessus de la mer, wagonnets, île aux tours;Risograph print editorial illustration, linocut style: on the right a big data center building standing on a small island in the sea, on the left a small town with a school and a hospital, and a long arched bridge between them over the waves, with little carts full of glowing boxes rolling across the bridge toward the town. The sea waves are printed in bright light blue. [style bleu clair, fond papier jusqu’aux bords, no frame]
80;s1/entreprises;fdd72b9f-83f7-43ae-8745-30950bfb8f83;aléatoire;rejetée;v2 : bandes noires;Risograph print editorial illustration, linocut style: businessmen in suits sprinting on a running track in a relay race, one runner handing a small glowing server box to the next runner, a globe-shaped finish line trophy ahead. The small server box and the running track lines are printed in bright light blue. [style bleu clair, fond papier jusqu’aux bords, no frame], no outline around the picture
81;s2/verite-alternative;d4039577-70be-4d63-8406-b1230c7a4f48;aléatoire;rejetée;v1 : bandes noires, un nuage au lieu de bulles;Risograph print editorial illustration, linocut style: small boxy robots turning the crank of a big machine that blows out a huge cloud of soap bubbles over a small city, the bubbles float over the rooftops and a crowd of tiny people in the streets all look up at them with open mouths. The soap bubbles are printed in bright light red. [style rouge clair, fond papier jusqu’aux bords, no frame]
82;s2/reguler-ia;bf746496-770f-47e9-8a25-9ea33b9c9068;aléatoire;rejetée;v1 : cadre noir, le robot tient lui aussi un carton;Risograph print editorial illustration, linocut style: a football referee in a striped shirt with a whistle holding up a plain blank card toward a boxy robot on a football pitch, the robot freezing with its arms up. The blank card is printed in bright light red. [style rouge clair, fond papier jusqu’aux bords, no frame], no numbers
83;s2/limiter-ia;74f05c8b-523f-4f9a-aec7-7b9484c12049;aléatoire;rejetée;v1 : le politicien a disparu, robot noyé dans la cage;Risograph print editorial illustration, linocut style: an old-fashioned politician with a bowler hat and a moustache locking a small boxy robot inside a big round bird cage with a heavy padlock, a quill pen tucked behind his ear. The bird cage is printed in bright light red. [style rouge clair, fond papier jusqu’aux bords, no frame]
84;s2/campagne-fin;5ef8e2ec-73b8-4490-b196-e8bcf274db48;aléatoire;retenue;v1 : candidat qui se ronge les ongles sous une pluie d'enveloppes;Risograph print editorial illustration, linocut style: a nervous candidate in a suit sitting alone on a chair in the center, biting his nails, while dozens of sealed envelopes rain down from the sky all around him. The envelopes are printed in bright light red. [style rouge clair, fond papier jusqu’aux bords, no frame], no stamps
85;s2/reseau-social-europeen;850de5a8-9732-4542-b28a-f7bcd57a9e63;aléatoire;rejetée;v1 : bandes noires;Risograph print editorial illustration, linocut style: a cozy walled garden with an open gate, a journalist with a big magnifying glass standing at the gate inspecting each speech bubble that floats in, and inside the garden small people relaxing on benches and chatting calmly. The speech bubbles are printed in bright light red. [style rouge clair, fond papier jusqu’aux bords, no frame]
86;s2/negocier-gafam-2;67559a6c-82e7-4af4-bc5e-427dafc29c9f;aléatoire;rejetée;v1 : bandes noires, le bureau est posé et non flottant;Risograph print editorial illustration, linocut style: a tiny official in a suit standing on an office desk floating like a raft in a stormy sea made of jagged spiky speech bubbles, while several boxy robots in the waves pump out more and more spiky bubbles. The spiky speech bubbles are printed in bright light red. [style rouge clair, fond papier jusqu’aux bords, no frame]
87;s2/donnees-ouvertes;8f27596a-167a-4740-a34e-7e66aecdbb00;aléatoire;retenue;v1 : fontaine de cubes, file de citoyens et d'investisseurs;Risograph print editorial illustration, linocut style: a public drinking fountain in a town square spouting a stream of small glowing cubes, a queue of small citizens and a few investors in suits with briefcases waiting their turn to fill their buckets with cubes. The glowing cubes are printed in bright light red. [style rouge clair, fond papier jusqu’aux bords, no frame]
88;s2/voie-democratique;255992a2-0e3d-47b7-bf91-57e3f9163ad4;aléatoire;rejetée;v1 : pas de ville-usine, la cheminée est collée au ministère;Risograph print editorial illustration, linocut style: on the left a small new classical ministry building with columns, on the right far away a grey factory city with chimneys, and in the middle a giant pair of scissors cutting the long thick cable that connected them. The cable is printed in bright light red. [style rouge clair, fond papier jusqu’aux bords, no frame], no flags
89;s2/riposte-2;46482571-e3cc-4e8a-b2fb-bed3f63e8ab3;aléatoire;retenue;v1 : bornes éteintes reliées à une caisse frappée d'une usine, fonctionnaire perplexe;Risograph print editorial illustration, linocut style: a row of public service kiosks and computer terminals all dead with dark blank screens and small sparks, their cables leading back to a big wooden crate stamped with a factory silhouette, and a small official in a suit scratching his head in front of them. The sparks are printed in bright light red. [style rouge clair, fond papier jusqu’aux bords, no frame]
90;s2/diplomatie;2ddea149-afd3-4ada-93d6-6a55d4b3f6a2;aléatoire;retenue;v1 : diplomate et tasses vides, robot messager au gros cadeau;Risograph print editorial illustration, linocut style: a very long negotiation table, a lone diplomat in a suit waiting on one side next to a tall pile of empty coffee cups, and on the far side a boxy messenger robot arriving through a door carrying a big gift box tied with a ribbon. The ribbon is printed in bright light red. [style rouge clair, fond papier jusqu’aux bords, no frame]
91;s2/diplomatie-2;1af6cdbd-97e9-4bdd-bf44-c87a81806027;aléatoire;rejetée;v1 : arbre ordinaire, la poignée de main n'est pas rendue;Risograph print editorial illustration, linocut style: a small tree whose trunk is two hands shaking each other, its branches bearing many round ripe fruits, a few workers with ladders and baskets picking the fruits, and a thick power cable plugged into the roots of the tree. The round fruits are printed in bright light red. [style rouge clair, fond papier jusqu’aux bords, no frame]
92;s1/entreprises;ba5ae193-15bb-45b3-b91b-80b21151f8a7;aléatoire;rejetée;v3 : filet noir, relais illisible, le globe est porté par un coureur;Risograph print editorial illustration, linocut style: businessmen in suits sprinting in a relay race, one runner handing a small glowing server box to the next runner, a big globe ahead of them as the finish. The small server box is printed in bright light blue. Isolated figures on an empty plain off-white background. [« small vignette floating in the middle of a blank off-white page », « the paper runs to all four edges », style bleu clair, no frame]
93;s2/verite-alternative;3f43de88-bdb6-4282-b482-aca570ab9da3;aléatoire;rejetée;v2 : bandes noires (sujet juste);Risograph print editorial illustration, linocut style: two small boxy robots turning the crank of a big bubble-blowing machine, a huge swarm of soap bubbles floating up over a few rooftops, and a crowd of tiny people below all looking up at the bubbles, amazed. The soap bubbles are printed in bright light red. [« small vignette floating in the middle of a blank off-white page », « the paper runs to all four edges », style rouge clair, no frame]
94;s2/reguler-ia;136ff88f-c821-4b26-81b5-8d73518de086;aléatoire;retenue;v2 : arbitre au carton rouge, robot penaud;Risograph print editorial illustration, linocut style: a football referee in a striped shirt blowing his whistle and raising a plain red card high in his right hand, standing in front of a boxy robot player who looks down ashamed, a football at their feet. Only the referee's card is printed in bright light red. [« small vignette floating in the middle of a blank off-white page », « the paper runs to all four edges », style rouge clair, no numbers]
95;s2/limiter-ia;f8de64e9-3fc6-44f8-b1d5-20c015774ca1;aléatoire;retenue;v2 : politicien au cadenas, robot dans la cage;Risograph print editorial illustration, linocut style: on the left an old-fashioned politician standing, wearing a bowler hat and a moustache, turning a big key in a padlock, and on the right a tall bird cage with a small boxy robot sitting sadly inside it. The bird cage is printed in bright light red. [« small vignette floating in the middle of a blank off-white page », « the paper runs to all four edges », style rouge clair, no frame]
96;s2/reseau-social-europeen;f7f931b3-594a-4856-94df-c3fe71399995;aléatoire;rejetée;v2 : bandes noires;Risograph print editorial illustration, linocut style: a low garden wall with an open gate, a journalist with a big magnifying glass standing at the gate inspecting a speech bubble floating in, and behind the wall small people relaxing on benches under trees, chatting calmly. The speech bubbles are printed in bright light red. [« small vignette floating in the middle of a blank off-white page », « the paper runs to all four edges », style rouge clair, no frame]
97;s2/negocier-gafam-2;dec05dbc-d4cc-4c31-a78b-2ca23b1338bd;aléatoire;rejetée;v2 : bandes noires;Risograph print editorial illustration, linocut style: a tiny official in a suit standing on top of an office desk that floats like a raft on stormy waves, all around him a sea of jagged spiky speech bubbles, and boxy robots swimming in the waves blowing out more spiky bubbles. The spiky speech bubbles are printed in bright light red. [« small vignette floating in the middle of a blank off-white page », « the paper runs to all four edges », style rouge clair, no frame]
98;s2/voie-democratique;7535817f-682c-4c2b-92d2-129c04c7e2dd;aléatoire;rejetée;v2 : filet noir autour de l'image;Risograph print editorial illustration, linocut style: at the far left a small classical ministry building with columns, at the far right a grey factory city with chimneys, a long thick cable stretched horizontally between them across the whole image, and in the middle a giant pair of scissors snipping the cable in two. The long cable is printed in bright light red. [style rouge clair, « the paper runs to all four edges », no flags]
99;s2/diplomatie-2;024e5e56-d552-4c4d-8d05-bdb3f4ad0e8c;aléatoire;retenue;v2 : tronc en avant-bras, poignée de main, cueilleurs sur échelles;Risograph print editorial illustration, linocut style: a fruit tree whose trunk is made of two big forearms whose hands are clasped in a handshake at the base of the crown, the branches bearing round ripe fruits, workers on ladders picking the fruits into baskets. The round fruits are printed in bright light red. [style rouge clair, « the paper runs to all four edges », no frame]
100;s1/entreprises;24f097e7-2279-4e10-90b9-3ed8188d984f;aléatoire;retenue;v4 : hommes d'affaires qui gravissent le globe, serveur fumant sur le dos;Risograph print editorial illustration, linocut style: a few small businessmen in suits climbing a staircase that spirals up around a big globe, the last one carrying a small server cabinet on his back, a single thin wisp of smoke rising from the server. The globe is printed in bright light blue. [style bleu clair, v3b]
101;s2/verite-alternative;987e0f9d-0c6b-46aa-9739-a8431342803f;aléatoire;retenue;v3 : sans « vignette sur une page » : plus de bandes;Risograph print editorial illustration, linocut style: (même sujet que v2) [style rouge clair, v3b]
102;s2/reseau-social-europeen;eea5857b-649d-4c50-97db-c967e69e2d80;aléatoire;retenue;v3 : mur de briques, journaliste à la loupe, bulles en spot;Risograph print editorial illustration, linocut style: (même sujet que v2, low brick garden wall) [style rouge clair, v3b]
103;s2/negocier-gafam-2;54882ad6-06da-439d-9a73-c70fa7728c7e;aléatoire;retenue;v3 : bureau-radeau, bulles hérissées, robots dans les vagues;Risograph print editorial illustration, linocut style: (même sujet que v2) [style rouge clair, v3b]
104;s2/voie-democratique;1b700f14-8f2e-4d66-8853-f6d7b563a87a;aléatoire;retenue (recadrée);v3 : cadre noir uniforme de 21 px, retiré par recadrage vers raw/s2/voie-democratique.jpg, sujet complet;Risograph print editorial illustration, linocut style: (même sujet que v2) [style rouge clair, v3b, no flags]
105;s3/prologue;5c513daf-12da-477e-807b-b5a74c711ee1;aléatoire;rejetée;v1 : bandes noires, pas de camps distincts chez les artistes;Risograph print editorial illustration, linocut style: a small boxy robot painting on a canvas on a wooden easel in the center, on the left a group of artists with berets and paintbrushes raising angry fists at it, on the right another group of artists with berets applauding it. The canvas on the easel is a solid flat medium teal rectangle. [style sarcelle, v3b]
106;s3/ceci-n-est-pas-une-biere-intro-2;5ec8a0c3-8e2c-4e34-b7ae-2d015baf658a;aléatoire;retenue;v1 : cadres de bière en grille, portable, porte-parole qui accuse (les cadres ne volent pas);Risograph print editorial illustration, linocut style: dozens of small identical framed pictures of a glass of beer flying out of an open laptop screen like a flock of birds, toward a big brewery building with copper tanks on the right, where a stern spokesman in a suit stands on the steps pointing an accusing finger at them. Every flying beer glass is a solid flat medium teal shape. [style sarcelle, v3b, no logos]
107;s3/interdire-ia-art;f32bab44-d7f2-45b7-baff-a97affe27ebd;aléatoire;rejetée;v1 : c'est le robot qui tient le marteau du juge;Risograph print editorial illustration, linocut style: a small boxy robot holding a paintbrush standing in a courtroom dock, a big judge's wooden gavel coming down on the bench above it, on the left a group of graphic designers with pencils behind their ears cheering, on the right two brewers in aprons raising beer mugs. The robot is solid flat medium teal. [style sarcelle, v3b]
108;s3/creer-cca;d3165ffe-792f-4460-843d-8715e39c3784;aléatoire;retenue;v1 : table ronde en spot, artiste, brasseur, officiels, loupe (robot minuscule sur la table);Risograph print editorial illustration, linocut style: a big round table where an artist with a beret, a brewer in an apron, a small boxy robot and an official in a suit sit together and talk, a large magnifying glass on a stand above the table inspecting a small painting laid in the middle. The round table top is a solid flat medium teal disc. [style sarcelle, v3b]
109;s3/dedommager-brasseurs-2;7c0b1822-fce8-4c8f-9348-3b49afaa7d93;aléatoire;retenue;v1 : artiste moustachu, sac en spot, clinique au cœur, file d'attente;Risograph print editorial illustration, linocut style: a thin artist with a beret and a curled moustache handing a huge bulging sack of coins to a nurse at the door of a small old clinic building with a heart shape above the door, a few people waiting in line at the clinic, and far in the back a big government building with its doors shut. The sack of coins is solid flat medium teal. [style sarcelle, v3b]
110;s3/ceci-n-est-pas-une-biere-fin;3e224142-0cd2-4312-b363-998b0c05345f;aléatoire;retenue;v1 : labyrinthe en spot, politicien au plan, traces en boucle;Risograph print editorial illustration, linocut style: a big hedge maze seen from above at an angle, a tiny politician in a suit standing lost in the middle of it holding an unfolded paper plan and scratching his head, his dotted footprint trail looping around in circles behind him. The hedges of the maze are solid flat medium teal. [style sarcelle, v3b]
111;s3/integrer-dominique;b38ca2ed-f2d0-46e8-9e0c-b3c9a784fd12;aléatoire;retenue;v1 : robots qui entrent, infirmières qui sortent avec leurs cartons;Risograph print editorial illustration, linocut style: a row of small boxy robots with round glowing eyes rolling in through the front door of a hospital building, while from the side door nurses in uniforms walk out carrying cardboard boxes with their belongings. The robots are solid flat medium teal. [style sarcelle, v3b]
112;s3/integrer-dominique-3;a97e56b5-ac61-4b0d-8390-19b07fd0dea6;aléatoire;retenue;v1 : marches du tribunal, dossiers en spot, familles de dos, robot seul, ton sobre;Risograph print editorial illustration, linocut style: the wide stone steps of a courthouse with classical columns, a small group of people in dark coats standing close together at the foot of the steps, looking up, a tall stack of legal files tied with string on the steps, and a small boxy robot sitting alone on a bench at the side. The stack of legal files is solid flat medium teal. [style sarcelle, v3b, « quiet and sober mood » au lieu de « satirical »]
113;s3/interdire-ia-sante;ca54d0fe-4d88-4ad6-a30f-40fc7b0a4eff;aléatoire;rejetée;v1 : scanner noir sans spot, le bâton n'est pas dans les roues;Risograph print editorial illustration, linocut style: a doctor in a white coat pushing hard on a big medical scanner machine mounted on wheels, but a long wooden stick is jammed between the spokes of its wheels and blocks it, while a small factory chimney in the background puffs only a tiny cloud of smoke. The medical scanner is solid flat medium teal. [style sarcelle, v3b]
114;s3/interdire-ia-sante-2;88d90f3f-d205-43be-bec5-536a2447e0b7;aléatoire;retenue;v1 : chercheurs qui lèvent des boucliers-disques en spot (le politicien est au milieu);Risograph print editorial illustration, linocut style: a row of medical researchers in white coats standing shoulder to shoulder and holding up big round shields, a microscope on a lab table behind them, and in front of them a small politician in a suit taking a step back, embarrassed. The round shields are solid flat medium teal. [style sarcelle, v3b]
115;s3/recherche-ia-sante;2adda9e3-96c4-4b93-b798-b522180a11c1;aléatoire;rejetée;v1 : un des juristes a une tête de robot;Risograph print editorial illustration, linocut style: a friendly small household robot seen from behind, two lawyers in suits with big magnifying glasses opening a long drawer in its back, the drawer stuffed with patient files, and a hospital bed in the background. The drawer full of files is solid flat medium teal. [style sarcelle, v3b]
116;s3/recherche-ia-sante-2;e385ffd1-3ede-4fef-bd34-0a5940e7b6c9;aléatoire;retenue;v1 : robot à vélo, hôpital en spot, médecin qui salue (pas de câble);Risograph print editorial illustration, linocut style: a small simple boxy robot pedalling a bicycle on a stand, a thin cable running from the bicycle to a small hospital building whose windows are lit, a doctor and a nurse waving happily at the hospital door. The hospital building is solid flat medium teal. [style sarcelle, v3b]
117;s3/regarder-nos-souvenirs-intro-2;83b87912-56a5-43fb-a381-7301e6638821;aléatoire;retenue;v1 : trois experts à la loupe devant l'implant sur son coussin;Risograph print editorial illustration, linocut style: three stern old experts in suits sitting side by side behind a long table, each one holding a big magnifying glass and frowning at a small mechanical eye implant placed on a velvet cushion in front of them. The mechanical eye implant is solid flat medium teal. [style sarcelle, v3b]
118;s3/accueillir-neooculus-1;e7af4ac6-6eef-4b2e-8f5b-65275472b27a;aléatoire;retenue;v1 : œil géant, entonnoir, file de citoyens et leurs dossiers en spot;Risograph print editorial illustration, linocut style: a giant mechanical eye with camera lens rings sitting on a tall pedestal, a big funnel under it, a long queue of tiny citizens walking toward it and each one dropping a paper folder into the funnel, while a tiny politician in a suit steps over a small wooden barrier and waves them on. The paper folders are solid flat medium teal. [style sarcelle, v3b]
119;s3/enqueter-neooculus;8bfa387d-e4ac-4a22-a58c-761690001859;aléatoire;retenue;v1 : enquêteur qui porte l'œil, câble vers un cerveau en bocal sur une ville;Risograph print editorial illustration, linocut style: two investigators in trench coats and hats lifting the lid off a big mechanical eye like a box, and from inside it a long bundle of cables runs across the sea to a giant brain in a glass jar standing on top of a skyscraper in a far away city. The giant brain is solid flat medium teal. [style sarcelle, v3b, no flags]
120;s3/enqueter-neooculus-2;4ec6e5d3-131d-46ec-b2ce-6803505042d6;aléatoire;retenue;v1 : porte en spot fermée sur l'œil, brouette de pièces vers l'hôpital;Risograph print editorial illustration, linocut style: a tiny politician in a suit firmly pushing a big heavy door shut on a giant mechanical eye that peeks through the gap, while behind him a wheelbarrow full of coins rolls toward a small hospital building. The big door is solid flat medium teal. [style sarcelle, v3b]
121;s3/financer-transhumanisme;05a0bc91-d7c9-4b4e-bea0-029a7fa2a265;aléatoire;retenue;v1 : tête de profil reliée à un écran, cerveau en pixels;Risograph print editorial illustration, linocut style: a human head in profile on the left, a thick cable plugged into the back of the head runs to an old computer monitor on the right, and on the monitor screen an identical copy of a brain made of small square pixels. The pixel brain on the screen is solid flat medium teal. [style sarcelle, v3b]
122;s3/financer-transhumanisme-2;c1bed122-d462-418f-8c2f-3b2dd1118b19;aléatoire;rejetée;v1 : les deux groupes portent des implants;Risograph print editorial illustration, linocut style: a deep crack splitting the ground in two, on the left a group of people with mechanical eye implants and cables on their heads standing on a rising platform, on the right a group of ordinary people looking across the widening gap at them. The cables on their heads are solid flat medium teal. [style sarcelle, v3b]
123;s3/prologue;eddd3aa9-6726-4085-8e0b-dee3c211c83b;aléatoire;rejetée;v2 : le robot est peint dans le tableau, tout le monde applaudit;Risograph print editorial illustration, linocut style: a small boxy robot standing at a wooden easel in the middle and painting, on its left side three artists with berets shaking their fists at it, on its right side three artists with berets clapping their hands. The painting on the easel is a solid flat medium teal rectangle. [style sarcelle, v3b, « figures standing on nothing », no floor]
124;s3/interdire-ia-art;45c0ca86-6c4b-4f3d-b410-82c42aef95fe;aléatoire;rejetée;v2 : bandes noires, la sarcelle envahit le décor, robot minuscule;Risograph print editorial illustration, linocut style: a stern human judge in a black robe and white wig behind a tall bench bangs a wooden gavel, in front of the bench a small boxy robot artist holding a paintbrush hangs its head, on the left graphic designers with pencils behind their ears cheer, on the right two brewers in aprons raise beer mugs. The small robot is solid flat medium teal. [style sarcelle, v3b]
125;s3/interdire-ia-sante;1c863299-ed40-4e6c-94a7-922c0a3c1960;aléatoire;rejetée;v2 : le bâton traverse l'anneau du scanner et non la roue;Risograph print editorial illustration, linocut style: a doctor in a white coat pushing a hospital scanner on a wheeled cart, the scanner is a big ring-shaped machine with a patient bed, and a long wooden stick is poked right through the spokes of the cart's front wheel so the cart is stuck. The ring-shaped scanner is solid flat medium teal. [style sarcelle, v3b]
126;s3/interdire-ia-sante-2;ecb315da-b56a-4d75-9a52-cc95d1b5d7cb;aléatoire;rejetée;v2 : quatre disques sarcelle flottants sans objet;Risograph print editorial illustration, linocut style: on the right a row of cancer researchers in white lab coats raising medieval round wooden shields with a metal boss, a microscope on a lab bench behind them, and on the left in the foreground a small politician in a suit leaning back and raising his hands, uneasy. The round shields are solid flat medium teal. [style sarcelle, v3b]
127;s3/recherche-ia-sante;6e6914cb-5daf-4e52-b166-10b94fdedc7f;aléatoire;rejetée;v2 : les juristes sont assis dans le tiroir;Risograph print editorial illustration, linocut style: a friendly small household robot with a smiling face stands in a hospital room, a long drawer pulled open from its chest is stuffed with patient files, and two human lawyers in suits and ties bend over the drawer with big magnifying glasses, frowning. The drawer full of files is solid flat medium teal. [style sarcelle, v3b]
128;s3/financer-transhumanisme-2;db39e230-868e-4e4a-b3c4-21af3eede3ff;aléatoire;retenue;v2 : implantés sur une corniche, fissure, gens ordinaires plus bas;Risograph print editorial illustration, linocut style: a wide crack splits the ground in the middle, on the left side a group of people wearing mechanical eye implants and head cables stand on a high platform that rises up, on the right side a group of plain ordinary people in everyday clothes with bare heads stand lower down and look up at them across the gap. The head cables and eye implants are solid flat medium teal. [style sarcelle, v3b]
129;s3/prologue;f3b658c9-28d7-43f0-80c5-d96aeb934d03;aléatoire;retenue (recadrée);v3 : deux camps (bras croisés, pouces levés) autour du robot, cadre noir retiré par recadrage vers raw/s3/prologue.jpg;Risograph print editorial illustration, linocut style: a small boxy robot holding a paintbrush stands in the middle between two groups of artists with berets, the group on the left frowns with arms crossed, the group on the right smiles and gives thumbs up. The robot's paintbrush and palette are solid flat medium teal. [style sarcelle, v3b, « figures standing on nothing », no floor]
130;s3/interdire-ia-art;a1aef40f-0717-4147-96fe-44a65d2a05b3;aléatoire;retenue;v3 : marteau géant sur le robot, graphistes et brasseurs qui se réjouissent;Risograph print editorial illustration, linocut style: a giant wooden judge's gavel coming down from the top and snapping a small robot's paintbrush in two, the small boxy robot looking at the broken brush, on the left three graphic designers with pencils behind their ears cheering, on the right two brewers in aprons raising beer mugs. The small robot is solid flat medium teal. [style sarcelle, v3b, « figures standing on nothing », no floor]
131;s3/interdire-ia-sante;2d819741-9ee9-43b4-a563-8decc71893a0;aléatoire;retenue;v3 : politicien qui débranche le scanner, médecin qui proteste (le nuage en spot remplace la cheminée);Risograph print editorial illustration, linocut style: a politician in a suit pulling out the power plug of a big hospital scanner machine, while a doctor in a white coat standing next to the scanner throws up both arms in protest, and a tiny cloud of smoke above a small chimney in the far background. The hospital scanner is solid flat medium teal. [style sarcelle, v3b, « figures standing on nothing »]
132;s3/recherche-ia-sante;5acefa09-c7ad-487d-a6ec-dee8c5be46bd;aléatoire;retenue;v3 : armoire de dossiers en spot, juristes à la loupe (le robot est dans le lit);Risograph print editorial illustration, linocut style: a smiling small household robot next to a hospital bed quietly slipping a patient file behind its back into a huge overflowing filing cabinet, while two lawyers in suits peek out from behind a curtain with big magnifying glasses. The huge filing cabinet is solid flat medium teal. [style sarcelle, v3b]
